"corpus","AranRusj_x"
"subcorpus","-"
"concordance size","59"
"query","Query:[lemma="".*инг"" & tag=""N.*""][lemma=""центр.*""&tag=""N.*""]"
"изнес",9,12,12.02018
"тренинговое",4,17,10.75207
"тренинге",3,554,7.32522
"акула",2,635,6.56121
"тренинг",10,4764,6.08621
"старт",6,3463,5.80278
"б",6,7113,4.77680
"курсы",3,5342,4.18595
"твой",6,12799,3.93458
"блог",2,5290,3.61495
"уверенность",2,5455,3.57112
"бывший",3,8860,3.46230
"агентство",4,12954,3.33233
"встретить",2,6791,3.25811
"отель",3,13732,2.83352
"отзыв",3,13735,2.83321
"личный",3,17955,2.44813
"санкт-петербург",2,16009,2.02810
"отдел",2,16802,1.95860
"информационный",2,19048,1.77819
"центр",5,57671,1.50489
"адрес",2,23148,1.49773
"руководитель",2,24321,1.42659
"обучение",2,27685,1.24011
"сотрудник",2,31674,1.04630
"интернет",2,35224,0.89331
"бизнес",2,35746,0.87213
"там",2,41909,0.64300
"необходимый",2,54249,0.27112
"город",3,84067,0.22470
"качество",2,87650,-0.42044
"(",13,600194,-0.49477
"компания",3,158614,-0.69073
")",12,664856,-0.75785
"свой",5,337784,-1.04407
"являться",2,136601,-1.06023
"ваш",2,145279,-1.14905
"""",19,1701031,-1.45010
"можно",2,210732,-1.68545
"работа",2,221233,-1.75559
"весь",2,242162,-1.88596
"или",3,364469,-1.89071
"​.​",2,286547,-2.12871
"который",3,521329,-2.40704
"--",4,696795,-2.41050
"в",18,3139082,-2.41201
"на",8,1521156,-2.53679
"и",15,3292732,-2.74399
"вы",2,441197,-2.75126
"по",3,679562,-2.78941
".",20,5544911,-3.08082
"быть",3,831694,-3.08083
":",2,556393,-3.08590
"это",2,621044,-3.24447
",",25,7990373,-3.28599
"для",2,691247,-3.39896
"не",3,1074666,-3.45057
"что",2,764748,-3.54474
"@card@",2,1653270,-4.65694
